#{"t_start": 1709852568.9109983, "env_id": null}
r,l,t
3.4999988,35,17.304533
5.1999974,52,17.309355
5.399997,54,17.318851
4.9999976,50,17.323745
5.499997,55,17.323823
5.699997,57,17.333243
5.699997,57,17.333323
5.799997,58,17.338147
5.8999968,59,17.342979
5.8999968,59,17.343068
4.799998,48,17.347837
6.0999966,61,17.352664
6.0999966,61,17.352744
3.5999987,36,17.362132
4.499998,45,17.362211
6.499996,65,17.37151
5.599997,56,17.380811
6.699996,67,17.38089
5.1999974,52,17.390211
5.9999967,60,17.39499
7.2999954,73,17.409037
7.2999954,73,17.409118
6.899996,69,17.418516
7.699995,77,17.427944
5.799997,58,17.428022
4.9999976,50,17.447129
8.099995,81,17.447201
6.699996,67,17.452177
6.3999963,64,17.457462
8.399996,84,17.462655
6.699996,67,17.467836
3.9999983,40,17.49699
5.9999967,60,17.497069
7.0999956,71,17.497107
5.699997,57,17.502167
9.299999,93,17.507306
9.4,94,17.512288
6.3999963,64,17.517187
7.699995,77,17.517258
7.799995,78,17.531673
9.900002,99,17.536894
9.5,95,17.536968
6.499996,65,17.536996
4.9999976,50,17.542242
8.299995,83,17.547462
3.7999985,38,17.547535
7.699995,77,17.552678
8.999998,90,17.552751
6.1999965,62,17.552778
6.699996,67,17.557927
4.1999984,42,17.56818
3.299999,33,17.573415
6.3999963,64,17.583151
8.199995,82,17.583216
10.300003,103,17.583245
5.0999975,51,17.592945
5.599997,56,17.598136
4.0999985,41,17.612339
5.9999967,60,17.612417
9.099998,91,17.621802
5.799997,58,17.635799
7.699995,77,17.635878
5.1999974,52,17.635904
5.0999975,51,17.640562
11.800009,118,17.640638
7.599995,76,17.645381
6.3999963,64,17.64546
6.899996,69,17.659245
2.0000002,20,17.668541
2.3999999,24,17.668621
9.199999,92,17.691659
5.699997,57,17.706699
11.900009,119,17.711768
7.0999956,71,17.716837
8.499996,85,17.72173
4.599998,46,17.721809
3.5999987,36,17.721837
1.8000003,18,17.726557
9.800001,98,17.735815
8.499996,85,17.745195
3.9999983,40,17.745275
9.5,95,17.745302
8.399996,84,17.75463
10.900005,109,17.768825
8.899998,89,17.768902
5.599997,56,17.768928
6.699996,67,17.773693
3.9999983,40,17.787776
11.300007,113,17.79265
7.799995,78,17.797469
8.899998,89,17.811614
7.3999953,74,17.816431
6.499996,65,17.821262
5.9999967,60,17.82609
10.000002,100,17.826168
9.099998,91,17.835661
7.899995,79,17.835742
7.599995,76,17.835769
6.899996,69,17.849864
4.499998,45,17.849945
8.099995,81,17.854739
7.599995,76,17.868963
12.300011,123,17.873892
6.899996,69,17.873968
6.599996,66,17.873995
3.199999,32,17.878813
5.399997,54,17.878888
5.9999967,60,17.878915
9.099998,91,17.888461
4.799998,48,17.898211
7.2999954,73,17.903097
8.399996,84,17.903175
7.599995,76,17.903203
11.500008,115,17.90799
5.599997,56,17.912871
7.899995,79,17.917703
3.7999985,38,17.927244
8.699997,87,17.936767
4.0999985,41,17.941764
6.2999964,63,17.946968
4.1999984,42,17.947054
5.8999968,59,17.952259
9.199999,92,17.957432
11.100006,111,17.967661
18.800035,188,17.967747
8.799997,88,17.972746
5.1999974,52,17.972824
7.499995,75,17.97285
17.700031,177,17.98229
8.799997,88,17.991797
8.599997,86,17.996661
8.099995,81,18.001479
3.7999985,38,18.001557
7.799995,78,18.011137
9.099998,91,18.021063
5.499997,55,18.035537
5.399997,54,18.054453
7.599995,76,18.059304
4.699998,47,18.064162
6.1999965,62,18.069014
2.4999998,25,18.069092
4.399998,44,18.088026
4.499998,45,18.097598
3.399999,34,18.102517
9.900002,99,18.112161
4.799998,48,18.112239
7.3999953,74,18.112267
4.399998,44,18.117101
11.300007,113,18.126768
6.2999964,63,18.131662
3.7999985,38,18.131739
6.2999964,63,18.141266
6.599996,66,18.141345
8.999998,90,18.141371
5.699997,57,18.146262
7.499995,75,18.151173
5.599997,56,18.151251
4.799998,48,18.151278
5.1999974,52,18.151302
9.099998,91,18.16087
9.299999,93,18.165725
7.499995,75,18.17532
7.1999955,72,18.175401
6.9999957,70,18.175429
5.699997,57,18.189765
10.100002,101,18.209849
5.0999975,51,18.215032
9.5,95,18.229502
7.0999956,71,18.234334
10.900005,109,18.239224
6.0999966,61,18.239301
12.500011,125,18.244109
4.9999976,50,18.244186
5.599997,56,18.244213
5.799997,58,18.25368
12.400011,124,18.258565
8.399996,84,18.263373
7.3999953,74,18.268213
7.799995,78,18.282356
11.400007,114,18.28718
0.1,1,22.162268
0.2,2,22.168882
0.2,2,22.168977
0.4,4,22.179879
0.4,4,22.179964
0.70000005,7,22.194845
0.70000005,7,22.194946
1.0000001,10,22.21067
1.1000001,11,22.21578
1.5000002,15,22.235228
1.6000003,16,22.240029
1.7000003,17,22.244984
1.7000003,17,22.245051
1.8000003,18,22.249707
1.8000003,18,22.249776
2.0000002,20,22.259018
2.1000001,21,22.263648
2.2,22,22.268187
2.3999999,24,22.277363
2.3999999,24,22.277433
2.4999998,25,22.281987
2.5999997,26,22.286577
2.5999997,26,22.286646
3.0999992,31,22.309446
3.5999987,36,22.331769
3.5999987,36,22.331837
3.6999986,37,22.336344
3.6999986,37,22.336412
3.9999983,40,22.350063
4.0999985,41,22.354614
4.1999984,42,22.359185
4.399998,44,22.368253
4.399998,44,22.368331
4.499998,45,22.373451
4.599998,46,22.378566
4.799998,48,22.389966
4.8999977,49,22.395421
4.9999976,50,22.400782
5.0999975,51,22.406045
5.0999975,51,22.406128
5.2999973,53,22.416821
4.9999976,50,22.421877
5.399997,54,22.421967
5.399997,54,22.433667
5.699997,57,22.438833
5.799997,58,22.444191
5.8999968,59,22.4496
5.9999967,60,22.455089
6.1999965,62,22.466246
6.3999963,64,22.476987
6.599996,66,22.486992
6.699996,67,22.491929
6.799996,68,22.496839
6.899996,69,22.501557
5.1999974,52,22.506315
4.9999976,50,22.511121
5.399997,54,22.511189
7.2999954,73,22.520528
4.699998,47,22.520597
7.499995,75,22.530006
7.699995,77,22.539459
7.799995,78,22.544226
6.699996,67,22.544291
7.899995,79,22.548993
5.599997,56,22.554758
3.199999,32,22.559492
7.9999948,80,22.564191
6.499996,65,22.564259
8.599997,86,22.582736
8.599997,86,22.582808
6.499996,65,22.587501
7.0999956,71,22.587572
8.999998,90,22.602379
4.8999977,49,22.616587
9.299999,93,22.616667
5.599997,56,22.616693
8.599997,86,22.616718
9.299999,93,22.616742
6.899996,69,22.621477
8.799997,88,22.626272
5.1999974,52,22.631405
5.9999967,60,22.63149
9.700001,97,22.636481
1.6000003,16,22.641254
9.700001,97,22.641342
7.499995,75,22.646309
7.3999953,74,22.651424
3.199999,32,22.656273
3.4999988,35,22.661065
2.3,23,22.661142
7.2999954,73,22.670562
8.499996,85,22.675398
6.899996,69,22.675475
9.099998,91,22.680195
5.1999974,52,22.698931
10.000002,100,22.699006
3.9999983,40,22.703754
9.299999,93,22.703829
7.2999954,73,22.719643
7.499995,75,22.724865
6.599996,66,22.734985
8.199995,82,22.744811
11.500008,115,22.744892
3.8999984,39,22.755455
7.9999948,80,22.760782
6.599996,66,22.760868
7.0999956,71,22.770897
7.599995,76,22.782794
6.799996,68,22.793262
7.699995,77,22.79334
4.9999976,50,22.79336
6.9999957,70,22.798838
8.599997,86,22.814353
7.9999948,80,22.824681
4.0999985,41,22.824757
7.0999956,71,22.829962
5.8999968,59,22.835233
6.599996,66,22.840579
9.199999,92,22.840653
7.1999955,72,22.845741
7.899995,79,22.861282
4.699998,47,22.87688
7.699995,77,22.909097
15.100021,151,22.914701
6.0999966,61,22.93142
5.8999968,59,22.931504
4.9999976,50,22.931526
4.8999977,49,22.963997
8.899998,89,22.975135
5.9999967,60,22.975215
7.1999955,72,22.98983
8.499996,85,22.989909
7.499995,75,22.989935
9.700001,97,22.989957
8.499996,85,22.994925
4.799998,48,23.000084
7.2999954,73,23.000159
4.499998,45,23.009726
2.9999993,30,23.019337
8.499996,85,23.02417
6.799996,68,23.028993
9.800001,98,23.029069
5.399997,54,23.029094
9.5,95,23.029113
7.499995,75,23.033843
8.799997,88,23.033921
12.20001,122,23.058279
11.100006,111,23.06833
7.3999953,74,23.083177
8.699997,87,23.08812
5.599997,56,23.0882
9.299999,93,23.093121
3.5999987,36,23.098185
7.799995,78,23.103312
6.0999966,61,23.108572
8.299995,83,23.108656
5.799997,58,23.113584
7.899995,79,23.113657
5.699997,57,23.118523
5.799997,58,23.123919
7.499995,75,23.124002
10.200003,102,23.138634
10.100002,101,23.14828
9.5,95,23.162589
10.300003,103,23.176914
8.199995,82,23.181847
8.999998,90,23.186686
10.400003,104,23.186767
12.00001,120,23.196305
6.2999964,63,23.196397
16.100025,161,23.205954
7.2999954,73,23.210779
8.199995,82,23.210862
9.6,96,23.210886
7.599995,76,23.221018
15.800024,158,23.221104
3.8999984,39,23.22601
5.8999968,59,23.226092
5.2999973,53,23.235961
6.0999966,61,23.236044
7.899995,79,23.241033
2.3999999,24,23.265225
8.699997,87,23.269992
7.1999955,72,23.270075
12.00001,120,23.270096
5.1999974,52,23.279591
6.499996,65,23.284483
7.2999954,73,23.294126
6.499996,65,23.29421
5.499997,55,23.303981
14.400019,144,23.30892
4.799998,48,23.318712
6.699996,67,23.323728
13.800016,138,23.328691
7.3999953,74,23.353363
5.1999974,52,23.363753
6.899996,69,23.368651
3.9999983,40,23.373703
7.799995,78,23.373786
5.799997,58,23.378701
7.9999948,80,23.383637
12.400011,124,23.388671
5.399997,54,23.388754
12.500011,125,23.38878
12.00001,120,23.388802
14.900021,149,23.393975
12.00001,120,23.399393
8.199995,82,23.404367
3.6999986,37,23.404444
7.699995,77,23.40935
4.399998,44,23.41428
8.699997,87,23.428977
8.499996,85,23.429056
6.3999963,64,23.429083
8.499996,85,23.438708
0.2,2,27.243591
0.3,3,27.248995
0.3,3,27.249074
0.3,3,27.2491
0.4,4,27.254187
0.4,4,27.254263
0.70000005,7,27.269516
1.0000001,10,27.284661
