#{"t_start": 1713899393.4067721, "env_id": null}
r,l,t
3.3899999,39,10.548239
1.6999996,70,10.553241
0.8199995,82,10.558317
7.070016,107,10.563399
1.8199995,82,10.568419
3.6699996,67,10.5685
1.6599996,66,10.578286
0.69999963,70,10.57837
2.6199996,62,10.607741
0.9199994,92,10.618309
0.9499994,95,10.618396
2.7499995,75,10.623398
6.2800026,128,10.628505
1.4999998,50,10.633674
11.350015,135,10.638698
0.5099998,51,10.643756
5.660014,166,10.643838
1.6599996,66,10.64879
2.6999996,70,10.658598
3.399999,140,10.663648
2.9199994,92,10.668654
2.8699994,87,10.67363
0.7299996,73,10.683528
5.3000064,130,10.683624
2.7299995,73,10.688586
0.69999963,70,10.688665
4.4900007,149,10.6985
7.320013,132,10.719256
5.3500032,135,10.729136
1.7099996,71,10.734185
0.22000003,22,10.753795
6.960004,96,10.763671
3.8199995,82,10.763757
8.450004,145,10.763779
0.89999944,90,10.769076
1.7599995,76,12.022156
12.080029,208,12.0324
1.9699993,97,12.037555
0.55999976,56,12.042703
7.1300116,113,12.042788
1.7599995,76,12.057807
2.6899996,69,12.057892
4.8299994,83,12.077606
9.280014,128,12.077693
2.7399995,74,12.092428
0.6099997,61,12.102657
2.5899997,59,12.102741
0.87999946,88,12.10773
9.470014,147,12.112752
0.67999965,68,12.122964
4.8699994,87,12.128025
0.6299997,63,12.133069
5.140009,114,12.133155
2.7299995,73,12.142941
0.5199998,52,12.157734
4.2000036,120,12.167727
0.79999954,80,12.167808
2.9799993,98,12.167831
0.35999992,36,12.172777
2.8899994,89,12.177751
3.8199995,82,12.182729
0.7199996,72,12.207664
1.5799997,58,12.212721
2.8699994,87,12.217936
3.1299992,113,12.22315
1.6899996,69,12.23306
6.360013,136,12.243332
1.9199994,92,12.248476
0.68999964,69,12.248556
6.5500183,155,12.26818
1.5499997,55,12.278136
5.960004,96,12.28805
0.6399997,64,12.288137
1.6699996,67,12.293132
0.97999936,98,12.293213
0.8299995,83,12.298393
2.8499994,85,12.298471
2.9899993,99,12.313518
1.8199995,82,12.318649
2.0599992,106,12.323831
0.28,28,12.323913
2.7899995,79,12.323933
0.6099997,61,12.328954
0.9599994,96,12.343829
4.8499994,85,12.348918
2.9599993,96,12.349
0.6299997,63,12.349024
0.7099996,71,12.358799
8.010015,101,12.363808
0.8499995,85,12.398327
4.340004,134,12.403324
16.860018,186,12.423457
2.6399996,64,12.428538
0.77999955,78,12.428618
1.6399996,64,12.433625
2.419999,142,12.443647
7.880005,88,12.443734
1.7699995,77,12.443756
6.1400013,114,12.448755
2.179999,118,12.448835
0.8299995,83,12.458655
1.5999997,60,12.468585
0.8199995,82,12.468671
3.7799995,78,12.483385
4.950001,95,12.483468
3.7199996,72,12.48349
0.6299997,63,12.48853
3.34,34,12.488611
1.6399996,64,12.488632
1.8499994,85,12.503457
0.56999975,57,12.508505
1.6999996,70,12.518491
5.830001,83,12.518573
3.179999,118,12.518595
1.8099995,81,12.533205
0.3999999,40,12.547963
1.7399995,74,12.54805
1.6399996,64,12.562736
5.9800043,98,12.567797
4.740013,174,12.567878
1.9399993,94,12.5728
0.55999976,56,12.57779
8.280015,128,12.577872
10.1700325,217,12.587635
4.3600063,136,12.59265
1.4799998,48,12.597663
5.830001,83,12.627663
0.6099997,61,12.632671
4.8100004,81,12.637683
0.7499996,75,12.642655
0.7399996,74,12.662233
0.8299995,83,12.66232
3.7599995,76,12.667293
1.7299995,73,12.677181
0.9399994,94,12.687047
0.5099998,51,12.696946
0.6199997,62,12.712435
4.7299995,73,12.712528
0.8599995,86,12.717864
3.8899994,89,12.723062
0.46999982,47,12.723145
2.3799999,38,12.737813
4.8300037,83,12.737897
1.8899994,89,12.742846
6.2100096,121,12.747844
0.8499995,85,12.747925
1.7099996,71,12.752849
0.65999967,66,12.772473
1.5699997,57,12.77256
2.6999996,70,12.777738
0.90999943,91,12.777818
0.41999987,42,12.782761
1.8899994,89,12.787779
0.6499997,65,12.792792
3.6199996,62,12.797785
8.350012,135,12.807988
0.18,18,12.80807
0.57999974,58,12.808092
0.69999963,70,12.80811
4.89,89,12.808126
9.120006,112,12.808144
0.6199997,62,12.813208
8.090015,109,12.837955
2.6699996,67,12.85265
0.55999976,56,12.857629
0.7599996,76,12.862659
6.47001,147,12.891706
0.6499997,65,12.901643
5.920002,92,12.906642
0.69999963,70,12.911942
1.9799993,98,12.917404
3.9099994,91,12.922437
1.5899997,59,12.92252
0.6099997,61,12.937243
1.4099998,41,12.942267
6.040003,104,12.942348
0.43999985,44,12.942371
2.0099993,101,12.947331
1.8899994,89,12.961944
1.5599997,56,12.966998
0.7499996,75,12.967081
11.680015,168,12.972031
2.3999999,40,12.981843
4.090001,109,12.991715
0.7099996,71,12.9918
0.5299998,53,13.001753
0.90999943,91,13.021875
1.5699997,57,13.031848
7.6500225,165,13.031937
3.0099993,101,13.036964
0.6099997,61,13.046948
1.5599997,56,13.052042
0.68999964,69,13.067615
7.170006,117,13.067702
0.65999967,66,13.080699
3.8399992,84,13.088355
0.55999976,56,13.094384
0.56999975,57,13.099967
0.35999992,36,13.105399
6.8600054,86,13.105483
3.4899998,49,13.105504
1.6999996,70,13.111107
1.6699996,67,13.136302
0.67999965,68,13.14712
1.6299996,63,13.16215
0.5199998,52,13.162235
0.6099997,61,13.177083
6.9500055,95,13.18213
0.79999954,80,13.187176
2.219999,122,13.187257
0.41999987,42,13.187279
4.1100016,111,13.20702
8.220005,122,13.207103
1.9899993,99,13.217624
2.8099995,81,13.222693
1.8599994,86,13.227761
11.240022,124,13.227842
0.5099998,51,13.232882
10.350009,135,13.232961
0.4999998,50,13.252614
0.42999986,43,13.257656
7.480014,148,13.257739
0.67999965,68,13.26271
3.8999994,90,13.267755
0.97999936,98,13.272837
0.57999974,58,13.27292
13.460037,246,13.282889
8.860018,186,13.287942
1.9999993,100,13.288021
9.210018,121,13.292997
1.6399996,64,13.293077
0.78999954,79,14.554326
1.19,19,14.554418
11.680026,168,14.574352
0.5199998,52,14.579592
4.850005,85,14.579674
1.379999,138,14.606121
0.40999988,41,14.611352
0.8499995,85,14.616624
1.4199998,42,14.616717
0.4999998,50,14.633393
0.4899998,49,14.639954
8.790009,79,14.645862
9.910034,191,14.645956
9.950009,95,14.657506
2.9299994,93,14.669086
0.67999965,68,14.669183
4.1100016,111,14.674699
4.8200054,82,14.674792
0.3999999,40,14.680232
3.9499993,95,14.686684
3.7899995,79,14.697908
0.56999975,57,14.718516
1.8499994,85,14.723813
2.0399992,104,14.729014
0.4899998,49,14.729091
2.7299995,73,14.72912
0.7599996,76,14.734243
3.34,34,14.73942
2.9099994,91,14.74463
5.080003,108,14.749775
7.3800163,138,14.765019
0.6399997,64,14.7651
0.8099995,81,14.770226
5.380002,138,14.770306
1.6599996,66,14.775437
4.4,140,14.775516
2.6299996,63,14.780634
0.22000003,22,14.785806
3.9299994,93,14.785885
0.6299997,63,14.806046
2.36,36,14.811339
0.76999956,77,14.832282
1.7699995,77,14.853184
0.43999985,44,14.853274
0.5299998,53,14.86372
0.58999974,59,14.869059
3.7499995,75,14.869146
1.6999996,70,14.869173
6.0300055,103,14.89084
6.090002,109,14.896321
1.7599995,76,14.901839
1.0699993,107,14.907139
1.7699995,77,14.917535
1.8699994,87,14.922775
2.7999995,80,14.927971
0.5499998,55,14.928058
6.2200136,122,14.933172
10.370022,137,14.943439
0.86999947,87,14.974019
5.980011,198,14.97923
1.7599994,76,14.984484
0.3999999,40,14.984572
0.66999966,67,14.994802
1.5199997,52,15.000151
2.4499998,45,15.000237
4.600005,160,15.00026
1.2699991,127,15.00545
1.8099995,81,15.005544
0.5499998,55,15.015986
0.6299997,63,15.016075
0.9199994,92,15.021254
3.2099993,121,15.057134
2.8599994,86,15.0624
0.76999956,77,15.062492
4.7700005,77,15.077982
9.46001,146,15.093524
2.0799994,108,15.098821
8.770008,77,15.120168
7.2000084,120,15.125556
0.7399996,74,15.13097
2.9199994,92,15.13106
0.57999974,58,15.136436
0.5499998,55,15.141788
6.730007,73,15.147106
0.8099995,81,15.15245
2.9299994,93,15.157821
0.56999975,57,15.163158
3.239999,124,15.168533
0.45999983,46,15.16862
3.8099995,81,15.173947
3.8699994,87,15.179265
2.7199996,72,15.184611
3.5999997,60,15.184702
4.8100014,81,15.195164
2.9499993,95,15.195253
0.5499998,55,15.195276
1.8199995,82,15.200644
2.9899993,99,15.20073
4.2800055,128,15.21149
4.6099997,61,15.216992
8.310009,131,15.222398
8.330019,133,15.227795
